"","species_common","species_scientific","leaf_nlayers","leaf_chlorophyll_a","leaf_chlorophyll_b","leaf_chlorophyll_total","leaf_carotenoid_total","leaf_anthocyanin_total","LMA","leafC","leafH","leafO","leafN","project","sample_year","sample_name","sample_id","leaf_water_content","c2n_leaf","leaf_protein_percent","leaf_cellulose_percent","leaf_lignin_percent","leaf_starch_percent"
"123","Sycamore maple","Acer pseudoplatanus",1.29,32.92,11.79,44.71,9.74,NA,37,47.57,5.99,38.76,2.73,"LOPEX",1993,"Ace-pse_Leaf25","LOPEX_Ace-pse_Leaf25_1993",69,17.4249084249084,18.045,19.08,8.93,1.505
"124","Sycamore maple","Acer pseudoplatanus",1.23,32.92,11.79,44.71,9.74,NA,31,47.57,5.99,38.76,2.73,"LOPEX",1993,"Ace-pse_Leaf25","LOPEX_Ace-pse_Leaf25_1993",69,17.4249084249084,18.045,19.08,8.93,1.505
"125","Sycamore maple","Acer pseudoplatanus",1.22,32.92,11.79,44.71,9.74,NA,26,47.57,5.99,38.76,2.73,"LOPEX",1993,"Ace-pse_Leaf25","LOPEX_Ace-pse_Leaf25_1993",62,17.4249084249084,18.045,19.08,8.93,1.505
"126","Apricot","Prunus armeniaca",1.48,29.78,10.78,40.56,10.78,NA,57,46.14,6.32,40.36,2.65,"LOPEX",1993,"Pru-arm_Leaf26","LOPEX_Pru-arm_Leaf26_1993",115,17.411320754717,17.055,11.855,8.57,4.335
"127","Apricot","Prunus armeniaca",1.44,29.78,10.78,40.56,10.78,NA,56,46.14,6.32,40.36,2.65,"LOPEX",1993,"Pru-arm_Leaf26","LOPEX_Pru-arm_Leaf26_1993",112,17.411320754717,17.055,11.855,8.57,4.335
"128","Apricot","Prunus armeniaca",1.49,29.78,10.78,40.56,10.78,NA,66,46.14,6.32,40.36,2.65,"LOPEX",1993,"Pru-arm_Leaf26","LOPEX_Pru-arm_Leaf26_1993",124,17.411320754717,17.055,11.855,8.57,4.335
"129","Apricot","Prunus armeniaca",1.52,29.78,10.78,40.56,10.78,NA,62,46.14,6.32,40.36,2.65,"LOPEX",1993,"Pru-arm_Leaf26","LOPEX_Pru-arm_Leaf26_1993",107,17.411320754717,17.055,11.855,8.57,4.335
"130","Apricot","Prunus armeniaca",1.43,29.78,10.78,40.56,10.78,NA,61,46.14,6.32,40.36,2.65,"LOPEX",1993,"Pru-arm_Leaf26","LOPEX_Pru-arm_Leaf26_1993",114,17.411320754717,17.055,11.855,8.57,4.335
"131","Black mullberry","Morus nigra",1.38,40.61,10.87,51.47,11.26,NA,50,43.65,6.28,39.87,3.27,"LOPEX",1993,"Mor-nig_Leaf27","LOPEX_Mor-nig_Leaf27_1993",83,13.348623853211,21.405,12.1,4.025,2.845
"132","Black mullberry","Morus nigra",1.47,40.61,10.87,51.47,11.26,NA,71,43.65,6.28,39.87,3.27,"LOPEX",1993,"Mor-nig_Leaf27","LOPEX_Mor-nig_Leaf27_1993",87,13.348623853211,21.405,12.1,4.025,2.845
"133","Black mullberry","Morus nigra",1.5,40.61,10.87,51.47,11.26,NA,69,43.65,6.28,39.87,3.27,"LOPEX",1993,"Mor-nig_Leaf27","LOPEX_Mor-nig_Leaf27_1993",101,13.348623853211,21.405,12.1,4.025,2.845
"134","Black mullberry","Morus nigra",1.57,40.61,10.87,51.47,11.26,NA,72,43.65,6.28,39.87,3.27,"LOPEX",1993,"Mor-nig_Leaf27","LOPEX_Mor-nig_Leaf27_1993",111,13.348623853211,21.405,12.1,4.025,2.845
"135","Black mullberry","Morus nigra",1.58,40.61,10.87,51.47,11.26,NA,63,43.65,6.28,39.87,3.27,"LOPEX",1993,"Mor-nig_Leaf27","LOPEX_Mor-nig_Leaf27_1993",97,13.348623853211,21.405,12.1,4.025,2.845
"136","Corn","Zea mays",1.35,38.86,9.79,48.65,8.88,NA,41,44.64,5.8,36.09,4.34,"LOPEX",1993,"Zea-may_Leaf28","LOPEX_Zea-may_Leaf28_1993",142,10.2857142857143,25.49,18.415,2.495,NA
"137","Corn","Zea mays",1.33,38.86,9.79,48.65,8.88,NA,41,44.64,5.8,36.09,4.34,"LOPEX",1993,"Zea-may_Leaf28","LOPEX_Zea-may_Leaf28_1993",148,10.2857142857143,25.49,18.415,2.495,NA
"138","Corn","Zea mays",1.33,38.86,9.79,48.65,8.88,NA,34,44.64,5.8,36.09,4.34,"LOPEX",1993,"Zea-may_Leaf28","LOPEX_Zea-may_Leaf28_1993",146,10.2857142857143,25.49,18.415,2.495,NA
"139","Corn","Zea mays",1.24,38.86,9.79,48.65,8.88,NA,38,44.64,5.8,36.09,4.34,"LOPEX",1993,"Zea-may_Leaf28","LOPEX_Zea-may_Leaf28_1993",137,10.2857142857143,25.49,18.415,2.495,NA
"140","Corn","Zea mays",1.39,38.86,9.79,48.65,8.88,NA,36,44.64,5.8,36.09,4.34,"LOPEX",1993,"Zea-may_Leaf28","LOPEX_Zea-may_Leaf28_1993",139,10.2857142857143,25.49,18.415,2.495,NA
"141","European chestnut","Castanea sativa",1.64,27.83,8.09,35.92,8.81,NA,52,48.67,6.54,40.96,2.15,"LOPEX",1993,"Castanea sativa_Leaf29","LOPEX_Castanea sativa_Leaf29_1993",74,22.6372093023256,15.19,19.835,8.65,6.78
"142","European chestnut","Castanea sativa",1.46,27.83,8.09,35.92,8.81,NA,46,48.67,6.54,40.96,2.15,"LOPEX",1993,"Castanea sativa_Leaf29","LOPEX_Castanea sativa_Leaf29_1993",60,22.6372093023256,15.19,19.835,8.65,6.78
"143","European chestnut","Castanea sativa",1.48,27.83,8.09,35.92,8.81,NA,52,48.67,6.54,40.96,2.15,"LOPEX",1993,"Castanea sativa_Leaf29","LOPEX_Castanea sativa_Leaf29_1993",69,22.6372093023256,15.19,19.835,8.65,6.78
"144","European chestnut","Castanea sativa",1.5,27.83,8.09,35.92,8.81,NA,47,48.67,6.54,40.96,2.15,"LOPEX",1993,"Castanea sativa_Leaf29","LOPEX_Castanea sativa_Leaf29_1993",66,22.6372093023256,15.19,19.835,8.65,6.78
"145","European chestnut","Castanea sativa",1.47,27.83,8.09,35.92,8.81,NA,45,48.67,6.54,40.96,2.15,"LOPEX",1993,"Castanea sativa_Leaf29","LOPEX_Castanea sativa_Leaf29_1993",63,22.6372093023256,15.19,19.835,8.65,6.78
"146","Common filbert","Corylus avellana",1.7,34.15,10.97,45.12,9.56,NA,43,47.87,6.29,39.37,2.67,"LOPEX",1993,"Cor-ave_Leaf30","LOPEX_Cor-ave_Leaf30_1993",59,17.9288389513109,17.48,16.07,12.94,2.705
"147","Common filbert","Corylus avellana",1.44,34.15,10.97,45.12,9.56,NA,28,47.87,6.29,39.37,2.67,"LOPEX",1993,"Cor-ave_Leaf30","LOPEX_Cor-ave_Leaf30_1993",45,17.9288389513109,17.48,16.07,12.94,2.705
"148","Common filbert","Corylus avellana",1.56,34.15,10.97,45.12,9.56,NA,41,47.87,6.29,39.37,2.67,"LOPEX",1993,"Cor-ave_Leaf30","LOPEX_Cor-ave_Leaf30_1993",52,17.9288389513109,17.48,16.07,12.94,2.705
"149","Common filbert","Corylus avellana",1.53,34.15,10.97,45.12,9.56,NA,29,47.87,6.29,39.37,2.67,"LOPEX",1993,"Cor-ave_Leaf30","LOPEX_Cor-ave_Leaf30_1993",45,17.9288389513109,17.48,16.07,12.94,2.705
"150","Common filbert","Corylus avellana",1.62,34.15,10.97,45.12,9.56,NA,38,47.87,6.29,39.37,2.67,"LOPEX",1993,"Cor-ave_Leaf30","LOPEX_Cor-ave_Leaf30_1993",51,17.9288389513109,17.48,16.07,12.94,2.705
"151","Largeleaf linden","Tilia platyphyllos",1.5,45.78,14.52,60.3,16.16,NA,50,44.85,5.74,39.22,2.31,"LOPEX",1993,"Tilia platyphyllos_Leaf31","LOPEX_Tilia platyphyllos_Leaf31_1993",77,19.4155844155844,15.92,14.195,7.51,0.385
"152","Largeleaf linden","Tilia platyphyllos",1.46,45.78,14.52,60.3,16.16,NA,44,44.85,5.74,39.22,2.31,"LOPEX",1993,"Tilia platyphyllos_Leaf31","LOPEX_Tilia platyphyllos_Leaf31_1993",77,19.4155844155844,15.92,14.195,7.51,0.385
"153","Largeleaf linden","Tilia platyphyllos",1.57,45.78,14.52,60.3,16.16,NA,45,44.85,5.74,39.22,2.31,"LOPEX",1993,"Tilia platyphyllos_Leaf31","LOPEX_Tilia platyphyllos_Leaf31_1993",84,19.4155844155844,15.92,14.195,7.51,0.385
"154","Largeleaf linden","Tilia platyphyllos",1.5,45.78,14.52,60.3,16.16,NA,53,44.85,5.74,39.22,2.31,"LOPEX",1993,"Tilia platyphyllos_Leaf31","LOPEX_Tilia platyphyllos_Leaf31_1993",78,19.4155844155844,15.92,14.195,7.51,0.385
"155","Largeleaf linden","Tilia platyphyllos",1.53,45.78,14.52,60.3,16.16,NA,49,44.85,5.74,39.22,2.31,"LOPEX",1993,"Tilia platyphyllos_Leaf31","LOPEX_Tilia platyphyllos_Leaf31_1993",77,19.4155844155844,15.92,14.195,7.51,0.385
"156","European aspen","Populus tremula",1.45,33.34,10.88,44.22,8.37,NA,64,49.69,7.58,36.57,2.51,"LOPEX",1993,"Pop-tre_Leaf32","LOPEX_Pop-tre_Leaf32_1993",72,19.796812749004,15.335,22.255,11.495,0.2
"157","European aspen","Populus tremula",1.38,33.34,10.88,44.22,8.37,NA,60,49.69,7.58,36.57,2.51,"LOPEX",1993,"Pop-tre_Leaf32","LOPEX_Pop-tre_Leaf32_1993",71,19.796812749004,15.335,22.255,11.495,0.2
"158","European aspen","Populus tremula",1.49,33.34,10.88,44.22,8.37,NA,57,49.69,7.58,36.57,2.51,"LOPEX",1993,"Pop-tre_Leaf32","LOPEX_Pop-tre_Leaf32_1993",62,19.796812749004,15.335,22.255,11.495,0.2
"159","European aspen","Populus tremula",1.61,33.34,10.88,44.22,8.37,NA,49,49.69,7.58,36.57,2.51,"LOPEX",1993,"Pop-tre_Leaf32","LOPEX_Pop-tre_Leaf32_1993",59,19.796812749004,15.335,22.255,11.495,0.2
"160","European aspen","Populus tremula",1.53,33.34,10.88,44.22,8.37,NA,69,49.69,7.58,36.57,2.51,"LOPEX",1993,"Pop-tre_Leaf32","LOPEX_Pop-tre_Leaf32_1993",61,19.796812749004,15.335,22.255,11.495,0.2
"161","Downy oak","Quercus pubescens",1.63,30.91,7.73,38.64,11.64,NA,106,49.99,6.69,38.86,2.34,"LOPEX",1993,"Quercus pubescens_Leaf33","LOPEX_Quercus pubescens_Leaf33_1993",104,21.3632478632479,12.345,21.035,11.035,1.105
"162","Downy oak","Quercus pubescens",1.48,30.91,7.73,38.64,11.64,NA,70,49.99,6.69,38.86,2.34,"LOPEX",1993,"Quercus pubescens_Leaf33","LOPEX_Quercus pubescens_Leaf33_1993",88,21.3632478632479,12.345,21.035,11.035,1.105
"163","Downy oak","Quercus pubescens",1.53,30.91,7.73,38.64,11.64,NA,81,49.99,6.69,38.86,2.34,"LOPEX",1993,"Quercus pubescens_Leaf33","LOPEX_Quercus pubescens_Leaf33_1993",80,21.3632478632479,12.345,21.035,11.035,1.105
"164","Downy oak","Quercus pubescens",1.67,30.91,7.73,38.64,11.64,NA,96,49.99,6.69,38.86,2.34,"LOPEX",1993,"Quercus pubescens_Leaf33","LOPEX_Quercus pubescens_Leaf33_1993",95,21.3632478632479,12.345,21.035,11.035,1.105
"165","Downy oak","Quercus pubescens",1.6,30.91,7.73,38.64,11.64,NA,91,49.99,6.69,38.86,2.34,"LOPEX",1993,"Quercus pubescens_Leaf33","LOPEX_Quercus pubescens_Leaf33_1993",92,21.3632478632479,12.345,21.035,11.035,1.105
"166","European alder","Alnus glutinosa",1.94,47.17,13.43,60.6,13.89,NA,70,49.41,6.35,37.6,3.4,"LOPEX",1993,"Aln-glu_Leaf34","LOPEX_Aln-glu_Leaf34_1993",78,14.5323529411765,22.105,14.13,12.045,1.63
"167","European alder","Alnus glutinosa",1.81,47.17,13.43,60.6,13.89,NA,55,49.41,6.35,37.6,3.4,"LOPEX",1993,"Aln-glu_Leaf34","LOPEX_Aln-glu_Leaf34_1993",77,14.5323529411765,22.105,14.13,12.045,1.63
"168","European alder","Alnus glutinosa",1.93,47.17,13.43,60.6,13.89,NA,67,49.41,6.35,37.6,3.4,"LOPEX",1993,"Aln-glu_Leaf34","LOPEX_Aln-glu_Leaf34_1993",82,14.5323529411765,22.105,14.13,12.045,1.63
"169","European alder","Alnus glutinosa",2.07,47.17,13.43,60.6,13.89,NA,71,49.41,6.35,37.6,3.4,"LOPEX",1993,"Aln-glu_Leaf34","LOPEX_Aln-glu_Leaf34_1993",89,14.5323529411765,22.105,14.13,12.045,1.63
"170","European alder","Alnus glutinosa",1.91,47.17,13.43,60.6,13.89,NA,65,49.41,6.35,37.6,3.4,"LOPEX",1993,"Aln-glu_Leaf34","LOPEX_Aln-glu_Leaf34_1993",82,14.5323529411765,22.105,14.13,12.045,1.63
"171","Corn","Zea mays",1.53,35.48,9.23,44.71,11.64,NA,37,NA,NA,NA,NA,"LOPEX",1993,"Zea-may_Leaf35","LOPEX_Zea-may_Leaf35_1993",99,NA,16.525,23.34,2.91,NA
"172","Corn","Zea mays",1.52,35.48,9.23,44.71,11.64,NA,42,NA,NA,NA,NA,"LOPEX",1993,"Zea-may_Leaf35","LOPEX_Zea-may_Leaf35_1993",89,NA,16.525,23.34,2.91,NA
"173","Corn","Zea mays",1.32,35.48,9.23,44.71,11.64,NA,32,NA,NA,NA,NA,"LOPEX",1993,"Zea-may_Leaf35","LOPEX_Zea-may_Leaf35_1993",74,NA,16.525,23.34,2.91,NA
"174","Corn","Zea mays",1.58,35.48,9.23,44.71,11.64,NA,42,NA,NA,NA,NA,"LOPEX",1993,"Zea-may_Leaf35","LOPEX_Zea-may_Leaf35_1993",96,NA,16.525,23.34,2.91,NA
"175","Corn","Zea mays",3,35.48,9.23,44.71,11.64,NA,33,NA,NA,NA,NA,"LOPEX",1993,"Zea-may_Leaf35","LOPEX_Zea-may_Leaf35_1993",63,NA,16.525,23.34,2.91,NA
"176","Corn","Zea mays",NA,NA,NA,NA,NA,NA,39,43.74,5.9,37.85,2,"LOPEX",1993,"Zea-may_Leaf36","LOPEX_Zea-may_Leaf36_1993",4,21.87,12.96,26.245,5.11,0.805
"177","Corn","Zea mays",NA,NA,NA,NA,NA,NA,28,43.74,5.9,37.85,2,"LOPEX",1993,"Zea-may_Leaf36","LOPEX_Zea-may_Leaf36_1993",3,21.87,12.96,26.245,5.11,0.805
"178","Corn","Zea mays",NA,NA,NA,NA,NA,NA,31,43.74,5.9,37.85,2,"LOPEX",1993,"Zea-may_Leaf36","LOPEX_Zea-may_Leaf36_1993",4,21.87,12.96,26.245,5.11,0.805
"179","Corn","Zea mays",NA,NA,NA,NA,NA,NA,35,43.74,5.9,37.85,2,"LOPEX",1993,"Zea-may_Leaf36","LOPEX_Zea-may_Leaf36_1993",4,21.87,12.96,26.245,5.11,0.805
"180","Corn","Zea mays",NA,NA,NA,NA,NA,NA,28,43.74,5.9,37.85,2,"LOPEX",1993,"Zea-may_Leaf36","LOPEX_Zea-may_Leaf36_1993",3,21.87,12.96,26.245,5.11,0.805
"181","Northern red oak","Quercus rubra",1.481275471,32.54,9.85,42.39,9.03,NA,57,NA,NA,NA,NA,"LOPEX",1993,"Que-rub_Leaf37","LOPEX_Que-rub_Leaf37_1993",65,NA,13.375,26.72,13.32,2.73
"182","Northern red oak","Quercus rubra",1.53888631,32.54,9.85,42.39,9.03,NA,70,NA,NA,NA,NA,"LOPEX",1993,"Que-rub_Leaf37","LOPEX_Que-rub_Leaf37_1993",72,NA,13.375,26.72,13.32,2.73
"183","Northern red oak","Quercus rubra",1.466518145,32.54,9.85,42.39,9.03,NA,58,NA,NA,NA,NA,"LOPEX",1993,"Que-rub_Leaf37","LOPEX_Que-rub_Leaf37_1993",67,NA,13.375,26.72,13.32,2.73
"184","Northern red oak","Quercus rubra",1.511694555,32.54,9.85,42.39,9.03,NA,54,NA,NA,NA,NA,"LOPEX",1993,"Que-rub_Leaf37","LOPEX_Que-rub_Leaf37_1993",61,NA,13.375,26.72,13.32,2.73
"185","Northern red oak","Quercus rubra",1.439336247,32.54,9.85,42.39,9.03,NA,53,NA,NA,NA,NA,"LOPEX",1993,"Que-rub_Leaf37","LOPEX_Que-rub_Leaf37_1993",60,NA,13.375,26.72,13.32,2.73
"186","Corn","Zea mays",1.7,15.22,5.12,20.34,4.35,NA,38,43.64,5.89,40.54,1.73,"LOPEX",1993,"Zea-may_Leaf38","LOPEX_Zea-may_Leaf38_1993",81,25.2254335260116,10.095,24.64,2.415,NA
"187","Corn","Zea mays",1.61,15.22,5.12,20.34,4.35,NA,46,43.64,5.89,40.54,1.73,"LOPEX",1993,"Zea-may_Leaf38","LOPEX_Zea-may_Leaf38_1993",102,25.2254335260116,10.095,24.64,2.415,NA
"188","Corn","Zea mays",1.59,15.22,5.12,20.34,4.35,NA,39,43.64,5.89,40.54,1.73,"LOPEX",1993,"Zea-may_Leaf38","LOPEX_Zea-may_Leaf38_1993",66,25.2254335260116,10.095,24.64,2.415,NA
"189","Corn","Zea mays",1.6,15.22,5.12,20.34,4.35,NA,47,43.64,5.89,40.54,1.73,"LOPEX",1993,"Zea-may_Leaf38","LOPEX_Zea-may_Leaf38_1993",86,25.2254335260116,10.095,24.64,2.415,NA
"190","Corn","Zea mays",1.7,15.22,5.12,20.34,4.35,NA,43,43.64,5.89,40.54,1.73,"LOPEX",1993,"Zea-may_Leaf38","LOPEX_Zea-may_Leaf38_1993",55,25.2254335260116,10.095,24.64,2.415,NA
"191","Common filbert","Corylus avellana",1.64,31.84,12.23,44.07,10.91,NA,26,47.37,6.98,37.86,2.67,"LOPEX",1993,"Cor-ave_Leaf39","LOPEX_Cor-ave_Leaf39_1993",50,17.7415730337079,12.78,17.25,12.665,0.995
"192","Common filbert","Corylus avellana",1.67,31.84,12.23,44.07,10.91,NA,30,47.37,6.98,37.86,2.67,"LOPEX",1993,"Cor-ave_Leaf39","LOPEX_Cor-ave_Leaf39_1993",42,17.7415730337079,12.78,17.25,12.665,0.995
"193","Common filbert","Corylus avellana",1.57,31.84,12.23,44.07,10.91,NA,42,47.37,6.98,37.86,2.67,"LOPEX",1993,"Cor-ave_Leaf39","LOPEX_Cor-ave_Leaf39_1993",59,17.7415730337079,12.78,17.25,12.665,0.995
"194","Common filbert","Corylus avellana",1.47,31.84,12.23,44.07,10.91,NA,29,47.37,6.98,37.86,2.67,"LOPEX",1993,"Cor-ave_Leaf39","LOPEX_Cor-ave_Leaf39_1993",50,17.7415730337079,12.78,17.25,12.665,0.995
"195","Common filbert","Corylus avellana",1.47,31.84,12.23,44.07,10.91,NA,46,47.37,6.98,37.86,2.67,"LOPEX",1993,"Cor-ave_Leaf39","LOPEX_Cor-ave_Leaf39_1993",50,17.7415730337079,12.78,17.25,12.665,0.995
"196","European chestnut","Castanea sativa",NA,NA,NA,NA,NA,NA,42,49.72,6.37,40.43,1.09,"LOPEX",1993,"Castanea sativa_Leaf40","LOPEX_Castanea sativa_Leaf40_1993",27,45.6146788990826,7.52,29.16,18.24,2.585
"197","European chestnut","Castanea sativa",NA,NA,NA,NA,NA,NA,31,49.72,6.37,40.43,1.09,"LOPEX",1993,"Castanea sativa_Leaf40","LOPEX_Castanea sativa_Leaf40_1993",10,45.6146788990826,7.52,29.16,18.24,2.585
"198","European chestnut","Castanea sativa",NA,NA,NA,NA,NA,NA,37,49.72,6.37,40.43,1.09,"LOPEX",1993,"Castanea sativa_Leaf40","LOPEX_Castanea sativa_Leaf40_1993",20,45.6146788990826,7.52,29.16,18.24,2.585
"199","European chestnut","Castanea sativa",NA,NA,NA,NA,NA,NA,28,49.72,6.37,40.43,1.09,"LOPEX",1993,"Castanea sativa_Leaf40","LOPEX_Castanea sativa_Leaf40_1993",18,45.6146788990826,7.52,29.16,18.24,2.585
"200","European chestnut","Castanea sativa",NA,NA,NA,NA,NA,NA,33,49.72,6.37,40.43,1.09,"LOPEX",1993,"Castanea sativa_Leaf40","LOPEX_Castanea sativa_Leaf40_1993",21,45.6146788990826,7.52,29.16,18.24,2.585
"201","Sycamore maple","Acer pseudoplatanus",1.4,42.99,14.59,57.58,10.52,NA,33,48.23,6.39,37.64,2.85,"LOPEX",1993,"Ace-pse_Leaf41","LOPEX_Ace-pse_Leaf41_1993",62,16.9228070175439,17.075,18.105,9.205,NA
"202","Sycamore maple","Acer pseudoplatanus",1.48,42.99,14.59,57.58,10.52,NA,48,48.23,6.39,37.64,2.85,"LOPEX",1993,"Ace-pse_Leaf41","LOPEX_Ace-pse_Leaf41_1993",77,16.9228070175439,17.075,18.105,9.205,NA
"203","Sycamore maple","Acer pseudoplatanus",1.29,42.99,14.59,57.58,10.52,NA,34,48.23,6.39,37.64,2.85,"LOPEX",1993,"Ace-pse_Leaf41","LOPEX_Ace-pse_Leaf41_1993",60,16.9228070175439,17.075,18.105,9.205,NA
"204","Sycamore maple","Acer pseudoplatanus",1.31,42.99,14.59,57.58,10.52,NA,42,48.23,6.39,37.64,2.85,"LOPEX",1993,"Ace-pse_Leaf41","LOPEX_Ace-pse_Leaf41_1993",60,16.9228070175439,17.075,18.105,9.205,NA
"205","Sycamore maple","Acer pseudoplatanus",1.39,42.99,14.59,57.58,10.52,NA,46,48.23,6.39,37.64,2.85,"LOPEX",1993,"Ace-pse_Leaf41","LOPEX_Ace-pse_Leaf41_1993",67,16.9228070175439,17.075,18.105,9.205,NA
"206","Kitchen sage","Salvia officinalis",2.24,46.09,13.08,59.17,15.87,NA,96,48.94,6.5,36.04,3.11,"LOPEX",1993,"Sal-off_Leaf42","LOPEX_Sal-off_Leaf42_1993",236,15.7363344051447,20.39,18.295,12.84,2.555
"207","Kitchen sage","Salvia officinalis",2.17,46.09,13.08,59.17,15.87,NA,95,48.94,6.5,36.04,3.11,"LOPEX",1993,"Sal-off_Leaf42","LOPEX_Sal-off_Leaf42_1993",235,15.7363344051447,20.39,18.295,12.84,2.555
"208","Kitchen sage","Salvia officinalis",2.08,46.09,13.08,59.17,15.87,NA,77,48.94,6.5,36.04,3.11,"LOPEX",1993,"Sal-off_Leaf42","LOPEX_Sal-off_Leaf42_1993",213,15.7363344051447,20.39,18.295,12.84,2.555
"209","Kitchen sage","Salvia officinalis",2.11,46.09,13.08,59.17,15.87,NA,88,48.94,6.5,36.04,3.11,"LOPEX",1993,"Sal-off_Leaf42","LOPEX_Sal-off_Leaf42_1993",242,15.7363344051447,20.39,18.295,12.84,2.555
"210","Kitchen sage","Salvia officinalis",2.22,46.09,13.08,59.17,15.87,NA,95,48.94,6.5,36.04,3.11,"LOPEX",1993,"Sal-off_Leaf42","LOPEX_Sal-off_Leaf42_1993",231,15.7363344051447,20.39,18.295,12.84,2.555
"211","Edible fig","Ficus carica",1.55,38.62,12.99,51.61,13.7,NA,50,41.77,5.67,40.36,3.1,"LOPEX",1993,"Fic-car_Leaf43","LOPEX_Fic-car_Leaf43_1993",91,13.4741935483871,20.21,12.51,4.805,2.62
"212","Edible fig","Ficus carica",1.58,38.62,12.99,51.61,13.7,NA,60,41.77,5.67,40.36,3.1,"LOPEX",1993,"Fic-car_Leaf43","LOPEX_Fic-car_Leaf43_1993",88,13.4741935483871,20.21,12.51,4.805,2.62
"213","Edible fig","Ficus carica",1.83,38.62,12.99,51.61,13.7,NA,60,41.77,5.67,40.36,3.1,"LOPEX",1993,"Fic-car_Leaf43","LOPEX_Fic-car_Leaf43_1993",139,13.4741935483871,20.21,12.51,4.805,2.62
"214","Edible fig","Ficus carica",1.87,38.62,12.99,51.61,13.7,NA,65,41.77,5.67,40.36,3.1,"LOPEX",1993,"Fic-car_Leaf43","LOPEX_Fic-car_Leaf43_1993",125,13.4741935483871,20.21,12.51,4.805,2.62
"215","Edible fig","Ficus carica",1.74,38.62,12.99,51.61,13.7,NA,61,41.77,5.67,40.36,3.1,"LOPEX",1993,"Fic-car_Leaf43","LOPEX_Fic-car_Leaf43_1993",127,13.4741935483871,20.21,12.51,4.805,2.62
"216","Bamboo","Bambusa arundinacea",1.92,54.72,18.08,72.8,12.33,NA,76,45.82,6.15,39.73,2.38,"LOPEX",1993,"Bambusa arundinacea_Leaf44","LOPEX_Bambusa arundinacea_Leaf44_1993",87,19.2521008403361,15.09,30.375,6.66,NA
"217","Bamboo","Bambusa arundinacea",1.68,54.72,18.08,72.8,12.33,NA,59,45.82,6.15,39.73,2.38,"LOPEX",1993,"Bambusa arundinacea_Leaf44","LOPEX_Bambusa arundinacea_Leaf44_1993",73,19.2521008403361,15.09,30.375,6.66,NA
"218","Bamboo","Bambusa arundinacea",1.85,54.72,18.08,72.8,12.33,NA,71,45.82,6.15,39.73,2.38,"LOPEX",1993,"Bambusa arundinacea_Leaf44","LOPEX_Bambusa arundinacea_Leaf44_1993",88,19.2521008403361,15.09,30.375,6.66,NA
"219","Bamboo","Bambusa arundinacea",1.63,54.72,18.08,72.8,12.33,NA,75,45.82,6.15,39.73,2.38,"LOPEX",1993,"Bambusa arundinacea_Leaf44","LOPEX_Bambusa arundinacea_Leaf44_1993",86,19.2521008403361,15.09,30.375,6.66,NA
"220","Bamboo","Bambusa arundinacea",1.57,54.72,18.08,72.8,12.33,NA,66,45.82,6.15,39.73,2.38,"LOPEX",1993,"Bambusa arundinacea_Leaf44","LOPEX_Bambusa arundinacea_Leaf44_1993",72,19.2521008403361,15.09,30.375,6.66,NA
"221","European fan palm","Chamaerops humilis",2.05,72.17,23.28,95.46,21.81,NA,133,NA,NA,NA,NA,"LOPEX",1993,"Cha-hum_Leaf45","LOPEX_Cha-hum_Leaf45_1993",169,NA,11.825,31.47,9.24,0.48
"222","European fan palm","Chamaerops humilis",2.12,72.17,23.28,95.46,21.81,NA,123,NA,NA,NA,NA,"LOPEX",1993,"Cha-hum_Leaf45","LOPEX_Cha-hum_Leaf45_1993",151,NA,11.825,31.47,9.24,0.48
"223","European fan palm","Chamaerops humilis",1.93,72.17,23.28,95.46,21.81,NA,120,NA,NA,NA,NA,"LOPEX",1993,"Cha-hum_Leaf45","LOPEX_Cha-hum_Leaf45_1993",158,NA,11.825,31.47,9.24,0.48
"224","European fan palm","Chamaerops humilis",1.75,72.17,23.28,95.46,21.81,NA,110,NA,NA,NA,NA,"LOPEX",1993,"Cha-hum_Leaf45","LOPEX_Cha-hum_Leaf45_1993",140,NA,11.825,31.47,9.24,0.48
"225","European fan palm","Chamaerops humilis",1.97,72.17,23.28,95.46,21.81,NA,127,NA,NA,NA,NA,"LOPEX",1993,"Cha-hum_Leaf45","LOPEX_Cha-hum_Leaf45_1993",153,NA,11.825,31.47,9.24,0.48
"226","Common reed","Phragmites australis",1.52,77.6,21.2,98.8,28.35,NA,68,44.92,6.24,37.63,2.78,"LOPEX",1993,"Phragmites australis_Leaf46","LOPEX_Phragmites australis_Leaf46_1993",59,16.158273381295,18.065,23.31,5.835,NA
"227","Common reed","Phragmites australis",1.62,77.6,21.2,98.8,28.35,NA,88,44.92,6.24,37.63,2.78,"LOPEX",1993,"Phragmites australis_Leaf46","LOPEX_Phragmites australis_Leaf46_1993",95,16.158273381295,18.065,23.31,5.835,NA
"228","Common reed","Phragmites australis",1.43,77.6,21.2,98.8,28.35,NA,61,44.92,6.24,37.63,2.78,"LOPEX",1993,"Phragmites australis_Leaf46","LOPEX_Phragmites australis_Leaf46_1993",44,16.158273381295,18.065,23.31,5.835,NA
"229","Common reed","Phragmites australis",1.65,77.6,21.2,98.8,28.35,NA,85,44.92,6.24,37.63,2.78,"LOPEX",1993,"Phragmites australis_Leaf46","LOPEX_Phragmites australis_Leaf46_1993",90,16.158273381295,18.065,23.31,5.835,NA
