"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer negundo","Box elder","Sapindaceae","broadleaf","late","late hardwood","ACNE2",NA,NA,"FFT",NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer platanoides","Norway maple","Aceraceae","broadleaf","late","late hardwood","ACPL",NA,NA,"FFT",NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alnus incana","gray alder","Betulaceae","broadleaf","early","early hardwood","ALIN2",NA,NA,"FFT",NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betula glandulosa","resin birch","Betulaceae","shrub","shrub","shrub","BEGL",NA,NA,"FFT",NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","sweet birch","Betulaceae","broadleaf","early","early hardwood","BELE",NA,NA,"FFT",NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carya alba","mockernut hickory","Cyperaceae","broadleaf","mid","mid hardwood","?CAAL27",NA,NA,"FFT",NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carex","sedge","Cyperaceae","grass","grass","grass","?CAREX",NA,NA,"FFT",NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Celtis occidentalis","common hackberry","Ulmaceae","broadleaf","mid","mid hardwood","CEOC",NA,NA,"FFT",NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cornus florida","flowering dogwood","Cornaceae","broadleaf","late","late hardwood","COFL2",NA,NA,"FFT",NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2",NA,NA,"FFT",NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juglans nigra","black walnut","Juglandaceae","broadleaf","mid","mid hardwood","JUNI",NA,NA,"FFT",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juniperus virginiana","eastern redcedar","Cupressaceae","conifer","late","late conifer","JUVI",NA,NA,"FFT",NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liriodendron tulipifera","tuliptree","Magnoliaceae","broadleaf","early","early hardwood","LITU",NA,NA,"FFT",NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnolia acuminata","cucumber-tree","Magnoliaceae","broadleaf","mid","mid hardwood","MAAC",NA,NA,"FFT",NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nyssa sylvatica","blackgum","Cornaceae","broadleaf","mid","mid hardwood","NYSY",NA,NA,"FFT",NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinus sylvestris","Scots pine","Pinaceae","conifer","north","north pine","PISY",NA,NA,"FFT",NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Populus deltoides","eastern cottonwood","Salicaceae","broadleaf","early","early hardwood","PODE3",NA,NA,"FFT",NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prunus pensylvanica","Pin cherry","Rosaceae","broadleaf","early","early hardwood","PRPE2",NA,NA,"FFT",NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prunus","cherry","Rosaceae","broadleaf","early","early hardwood","?PRUNUS",NA,NA,"FFT",NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL",NA,NA,"FFT",NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhamnus cathartica","Common buckthorn","Rhamnaceae","broadleaf","late","late hardwood","RHCA3",NA,NA,"FFT",NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robinia pseudoacacia","black locust","Fabaceae","broadleaf","early","early hardwood","ROPS",NA,NA,"FFT",NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sassafras albidum","sassafras","Salicaceae","broadleaf","mid","mid hardwood","SAAL5",NA,NA,"FFT",NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2",NA,NA,"FFT",NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Typha latifolia","broadleaf cattail","Typhaceae","grass","grass","grass","TYLA",NA,NA,"FFT",NA,NA,NA,NA
"26","AK01_ACRU_B",2009,"AK","AK01","B",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK01_ACRU_B_2009","FFT",NA,NA,NA,NA
"27","AK01_ACRU_M",2009,"AK","AK01","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK01_ACRU_M_2009","FFT",NA,NA,NA,NA
"28","AK01_ACRU_T",2009,"AK","AK01","T",NA,38.8725284,23.5380732,15.3344552,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK01_ACRU_T_2009","FFT",NA,NA,NA,NA
"29","AK01_PIRE_MN",2009,"AK","AK01","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_AK01_PIRE_MN_2009","FFT","N",NA,NA,NA
"30","AK01_PIRE_MO",2009,"AK","AK01","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_AK01_PIRE_MO_2009","FFT","O",NA,NA,NA
"31","AK01_PIRE_TN",2009,"AK","AK01","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_AK01_PIRE_TN_2009","FFT","N",NA,NA,NA
"32","AK01_PIRE_TO",2009,"AK","AK01","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_AK01_PIRE_TO_2009","FFT","O",NA,NA,NA
"33","AK01_PIST_MN",2009,"AK","AK01","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_AK01_PIST_MN_2009","FFT","N",NA,NA,NA
"34","AK01_PIST_MO",2009,"AK","AK01","M",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_AK01_PIST_MO_2009","FFT","O",NA,NA,NA
"35","AK01_PIST_TN",2009,"AK","AK01","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_AK01_PIST_TN_2009","FFT","N",NA,NA,NA
"36","AK01_PIST_TO",2009,"AK","AK01","T",NA,NA,NA,NA,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_AK01_PIST_TO_2009","FFT","O",NA,NA,NA
"37","AK01_POGR_B",2009,"AK","AK01","B",NA,NA,NA,NA,NA,NA,NA,NA,"Populus grandidentata","bigtooth aspen","Salicaceae","broadleaf","early","early hardwood","POGR4","ASD FieldSpec 3","FFT_AK01_POGR_B_2009","FFT",NA,NA,NA,NA
"38","AK01_POGR_T",2009,"AK","AK01","T",NA,NA,NA,NA,NA,NA,NA,NA,"Populus grandidentata","bigtooth aspen","Salicaceae","broadleaf","early","early hardwood","POGR4","ASD FieldSpec 3","FFT_AK01_POGR_T_2009","FFT",NA,NA,NA,NA
"39","AK01_QURU_B",2009,"AK","AK01","B",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_AK01_QURU_B_2009","FFT",NA,NA,NA,NA
"40","AK01_QURU_M",2009,"AK","AK01","M",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_AK01_QURU_M_2009","FFT",NA,NA,NA,NA
"41","AK01_QURU_T",2009,"AK","AK01","T",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_AK01_QURU_T_2009","FFT",NA,NA,NA,NA
"42","AK02_ABBA_B2",2009,"AK","AK02","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_B2_2009","FFT",NA,"2",NA,NA
"43","AK02_ABBA_B3",2009,"AK","AK02","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_B3_2009","FFT",NA,"3",NA,NA
"44","AK02_ABBA_BN",2009,"AK","AK02","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_BN_2009","FFT",NA,"N",NA,NA
"45","AK02_ABBA_M3",2009,"AK","AK02","M",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_M3_2009","FFT",NA,"3",NA,NA
"46","AK02_ABBA_MN",2009,"AK","AK02","M",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_MN_2009","FFT",NA,"N",NA,NA
"47","AK02_ABBA_T2",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_T2_2009","FFT",NA,"2",NA,NA
"48","AK02_ABBA_T3",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_T3_2009","FFT",NA,"3",NA,NA
"49","AK02_ABBA_TN",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK02_ABBA_TN_2009","FFT",NA,"N",NA,NA
"50","AK02_ACRU_M",2009,"AK","AK02","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK02_ACRU_M_2009","FFT",NA,NA,NA,NA
"51","AK02_ACRU_T",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK02_ACRU_T_2009","FFT",NA,NA,NA,NA
"52","AK02_PIRU_T2",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK02_PIRU_T2_2009","FFT",NA,"2",NA,NA
"53","AK02_PIRU_T3",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK02_PIRU_T3_2009","FFT",NA,"3",NA,NA
"54","AK02_PIRU_TN",2009,"AK","AK02","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK02_PIRU_TN_2009","FFT",NA,"N",NA,NA
"55","AK02_TSCA_B2",2009,"AK","AK02","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK02_TSCA_B2_2009","FFT",NA,"2",NA,NA
"56","AK02_TSCA_B3",2009,"AK","AK02","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK02_TSCA_B3_2009","FFT",NA,"3",NA,NA
"57","AK02_TSCA_BN",2009,"AK","AK02","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK02_TSCA_BN_2009","FFT",NA,"N",NA,NA
"58","AK06_ABBA_B2",2009,"AK","AK06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK06_ABBA_B2_2009","FFT",NA,"2",NA,NA
"59","AK06_ABBA_B3",2009,"AK","AK06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK06_ABBA_B3_2009","FFT",NA,"3",NA,NA
"60","AK06_ABBA_BN",2009,"AK","AK06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK06_ABBA_BN_2009","FFT",NA,"N",NA,NA
"61","AK06_ABBA_M2",2009,"AK","AK06","M",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK06_ABBA_M2_2009","FFT",NA,"2",NA,NA
"62","AK06_PIRU_B2",2009,"AK","AK06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK06_PIRU_B2_2009","FFT",NA,"2",NA,NA
"63","AK06_PIRU_B3",2009,"AK","AK06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK06_PIRU_B3_2009","FFT",NA,"3",NA,NA
"64","AK06_PIRU_BN",2009,"AK","AK06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK06_PIRU_BN_2009","FFT",NA,"N",NA,NA
"65","AK06_THOC_M2",2009,"AK","AK06","M",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK06_THOC_M2_2009","FFT",NA,"2",NA,NA
"66","AK06_THOC_M3",2009,"AK","AK06","M",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK06_THOC_M3_2009","FFT",NA,"3",NA,NA
"67","AK06_THOC_MN",2009,"AK","AK06","M",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK06_THOC_MN_2009","FFT",NA,"N",NA,NA
"68","AK06_THOC_T2",2009,"AK","AK06","T",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK06_THOC_T2_2009","FFT",NA,"2",NA,NA
"69","AK06_THOC_TN",2009,"AK","AK06","T",NA,NA,NA,NA,NA,NA,NA,NA,"Thuja occidentalis","Northern white cedar","Cupressaceae","conifer","late","late conifer","THOC2","ASD FieldSpec 3","FFT_AK06_THOC_TN_2009","FFT",NA,"N",NA,NA
"70","AK09_PIST_TO",2009,"AK","AK09","T",NA,50.22493716,32.68717242,17.53776474,NA,NA,NA,NA,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT","O",NA,NA,NA
"71","AK12_BEAL_M",2009,"AK","AK12","M",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK12_BEAL_M_2009","FFT",NA,NA,NA,NA
"72","AK12_BEAL_T",2009,"AK","AK12","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK12_BEAL_T_2009","FFT",NA,NA,NA,NA
"73","AK12_TSCA_B2",2009,"AK","AK12","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_B2_2009","FFT",NA,"2",NA,NA
"74","AK12_TSCA_B3",2009,"AK","AK12","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_B3_2009","FFT",NA,"3",NA,NA
"75","AK12_TSCA_BN",2009,"AK","AK12","B",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_BN_2009","FFT",NA,"N",NA,NA
"76","AK12_TSCA_M2",2009,"AK","AK12","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_M2_2009","FFT",NA,"2",NA,NA
"77","AK12_TSCA_M3",2009,"AK","AK12","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_M3_2009","FFT",NA,"3",NA,NA
"78","AK12_TSCA_MN",2009,"AK","AK12","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_MN_2009","FFT",NA,"N",NA,NA
"79","AK12_TSCA_T2",2009,"AK","AK12","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_T2_2009","FFT",NA,"2",NA,NA
"80","AK12_TSCA_T3",2009,"AK","AK12","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_T3_2009","FFT",NA,"3",NA,NA
"81","AK12_TSCA_TN",2009,"AK","AK12","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK12_TSCA_TN_2009","FFT",NA,"N",NA,NA
"82","AK17_ACRU_T",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_AK17_ACRU_T_2009","FFT",NA,NA,NA,NA
"83","AK17_BEAL_M",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK17_BEAL_M_2009","FFT",NA,NA,NA,NA
"84","AK17_BEAL_T",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK17_BEAL_T_2009","FFT",NA,NA,NA,NA
"85","AK17_FAGR_B",2009,"AK","AK17","B",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","American beech","Fagaceae","broadleaf","late","late hardwood","FAGR","ASD FieldSpec 3","FFT_AK17_FAGR_B_2009","FFT",NA,NA,NA,NA
"86","AK17_PIRU_B2",2009,"AK","AK17","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_B2_2009","FFT",NA,"2",NA,NA
"87","AK17_PIRU_B3",2009,"AK","AK17","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_B3_2009","FFT",NA,"3",NA,NA
"88","AK17_PIRU_BN",2009,"AK","AK17","B",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_BN_2009","FFT",NA,"N",NA,NA
"89","AK17_PIRU_M2",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_M2_2009","FFT",NA,"2",NA,NA
"90","AK17_PIRU_M3",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_M3_2009","FFT",NA,"3",NA,NA
"91","AK17_PIRU_MN",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_MN_2009","FFT",NA,"N",NA,NA
"92","AK17_PIRU_T2",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_T2_2009","FFT",NA,"2",NA,NA
"93","AK17_PIRU_T3",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_T3_2009","FFT",NA,"3",NA,NA
"94","AK17_PIRU_TN",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK17_PIRU_TN_2009","FFT",NA,"N",NA,NA
"95","AK17_TSCA_M2",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK17_TSCA_M2_2009","FFT",NA,"2",NA,NA
"96","AK17_TSCA_M3",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK17_TSCA_M3_2009","FFT",NA,"3",NA,NA
"97","AK17_TSCA_MN",2009,"AK","AK17","M",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK17_TSCA_MN_2009","FFT",NA,"N",NA,NA
"98","AK17_TSCA_T2",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK17_TSCA_T2_2009","FFT",NA,"2",NA,NA
"99","AK17_TSCA_T3",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK17_TSCA_T3_2009","FFT",NA,"3",NA,NA
"100","AK17_TSCA_TN",2009,"AK","AK17","T",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","eastern hemlock","Pinaceae","conifer","late","late conifer","TSCA","ASD FieldSpec 3","FFT_AK17_TSCA_TN_2009","FFT",NA,"N",NA,NA
"101","AK18_ABBA_T2",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK18_ABBA_T2_2009","FFT",NA,"2",NA,NA
"102","AK18_ABBA_T3",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK18_ABBA_T3_2009","FFT",NA,"3",NA,NA
"103","AK18_ABBA_TN",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_AK18_ABBA_TN_2009","FFT",NA,"N",NA,NA
"104","AK18_BEAL_T",2009,"AK","AK18","T",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","yellow birch","Betulaceae","broadleaf","early","early hardwood","BEAL2","ASD FieldSpec 3","FFT_AK18_BEAL_T_2009","FFT",NA,NA,NA,NA
"105","AK18_PIRU_M2",2009,"AK","AK18","M",NA,NA,NA,NA,NA,NA,NA,NA,"Picea rubens","red spruce","Pinaceae","conifer","mid","mid conifer","PIRU","ASD FieldSpec 3","FFT_AK18_PIRU_M2_2009","FFT",NA,"2",NA,NA
