"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"869","KM05_ACRU_B",2009,"KM","KM05","B",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_KM05_ACRU_B_2009","FFT",NA,NA,NA,NA
"870","KM05_ACRU_M",2009,"KM","KM05","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_KM05_ACRU_M_2009","FFT",NA,NA,NA,NA
"871","KM05_ACRU_T",2009,"KM","KM05","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_KM05_ACRU_T_2009","FFT",NA,NA,NA,NA
"872","KM05_ACSM_B",2009,"KM","KM05","B",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_KM05_ACSM_B_2009","FFT",NA,NA,NA,NA
"873","KM05_ACSM_M",2009,"KM","KM05","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_KM05_ACSM_M_2009","FFT",NA,NA,NA,NA
"874","KM05_ACSM_T",2009,"KM","KM05","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_KM05_ACSM_T_2009","FFT",NA,NA,NA,NA
"875","KM05_CAOV_T",2009,"KM","KM05","T",NA,NA,NA,NA,NA,NA,NA,74.9411726,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3",NA,NA,"FFT",NA,NA,99.43367,NA
"876","KM05_QURU_M",2009,"KM","KM05","M",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_KM05_QURU_M_2009","FFT",NA,NA,NA,NA
"877","KM05_QURU_T",2009,"KM","KM05","T",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_KM05_QURU_T_2009","FFT",NA,NA,NA,NA
"878","KM06_CAOV_B",2009,"KM","KM06","B",NA,NA,NA,NA,NA,NA,NA,NA,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_KM06_CAOV_B_2009","FFT",NA,NA,NA,NA
"879","KM06_CAOV_M",2009,"KM","KM06","M",NA,NA,NA,NA,NA,NA,NA,NA,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_KM06_CAOV_M_2009","FFT",NA,NA,NA,NA
"880","KM06_CAOV_T",2009,"KM","KM06","T",NA,NA,NA,NA,NA,NA,NA,NA,"Carya ovata","Shagbark hickory","Juglandaceae","broadleaf","mid","mid hardwood","CAOV3","ASD FieldSpec 3","FFT_KM06_CAOV_T_2009","FFT",NA,NA,NA,NA
"881","KM06_FRAM_M",2009,"KM","KM06","M",NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2","ASD FieldSpec 3","FFT_KM06_FRAM_M_2009","FFT",NA,NA,NA,NA
"882","KM06_FRAM_T",2009,"KM","KM06","T",NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","white ash","Oleaceae","broadleaf","mid","mid hardwood","FRAM2","ASD FieldSpec 3","FFT_KM06_FRAM_T_2009","FFT",NA,NA,NA,NA
"883","MN01_ACSP_B",2008,"MN","MN01","B",-5.2083301295,NA,NA,NA,2.174,46.969,21.602,30.71682015,"Acer spicatum","mountain maple","Aceraceae","broadleaf","mid","mid hardwood","ACSP2",NA,NA,"FFT",NA,NA,64.47387,NA
"884","MN01_ACSP_T",2008,"MN","MN01","T",-4.5092203535,18.95912437,7.8062557385,11.1528686325,2.554,48.536,19.007,33.80222768,"Acer spicatum","mountain maple","Aceraceae","broadleaf","mid","mid hardwood","ACSP2","ASD FieldSpec 3","FFT_MN01_ACSP_T_2008","FFT",NA,NA,66.88086,NA
"885","MN01_BEPA_B",2008,"MN","MN01","B",-2.0922305775,35.95123901,20.26378897,15.68745004,2.92,50.14,17.172,40.37540823,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_MN01_BEPA_B_2008","FFT",NA,NA,99.7449,NA
"886","MN01_BEPA_M",2008,"MN","MN01","M",-2.246895362,NA,NA,NA,2.767,50.475,18.239,66.21982121,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA",NA,NA,"FFT",NA,NA,116.45555,NA
"887","MN01_BEPA_T",2008,"MN","MN01","T",-2.6455532145,33.71953656,21.51418298,12.20535358,2.388,51.035,21.373,78.20733049,"Betula papyrifera","paper birch","Betulaceae","broadleaf","early","early hardwood","BEPA","ASD FieldSpec 3","FFT_MN01_BEPA_T_2008","FFT",NA,NA,129.36709,NA
"888","MN01_COAM_T",2008,"MN","MN01","T",-2.785075783,30.4705826825,12.7868257975,17.68375689,2.8845,46.626,16.164,34.97818142,"Corylus americana","American hazelnut","Beulaceae","shrub","shrub","shrub","COAM3","ASD FieldSpec 3","FFT_MN01_COAM_T_2008","FFT",NA,NA,54.17985,NA
"889","MN01_PIST_BN",2008,"MN","MN01","B",-0.491655034,NA,NA,NA,1.611,48.298,29.982,87.28933056,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_MN01_PIST_BN_2008","FFT","N",NA,201.43692,NA
"890","MN01_PIST_BO",2008,"MN","MN01","B",-0.4562707095,42.69738193,24.28864067,18.40874126,1.317,52.038,39.501,127.8011824,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_MN01_PIST_BO_2008","FFT","O",NA,148.68836,NA
"891","MN01_PIST_MN",2008,"MN","MN01","M",-1.138642388,47.32871782,25.69670739,21.63201043,1.794,50.856,28.352,90.67357513,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_MN01_PIST_MN_2008","FFT","N",NA,199.63426,NA
"892","MN01_PIST_MO",2008,"MN","MN01","M",NA,40.6604316575,23.76084732,16.89958433,1.358,51.828,38.165,173.2516374,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_MN01_PIST_MO_2008","FFT","O",NA,174.51933,NA
"893","MN01_PIST_TN",2008,"MN","MN01","T",-1.2950744935,43.9134893225,24.899298395,19.014190925,1.542,51.982,33.701,113.1894994,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST",NA,NA,"FFT","N",NA,266.23446,NA
"894","MN01_PIST_TO",2008,"MN","MN01","T",-1.3452759805,39.662413585,25.12252241,14.53989117,1.271,52.368,41.195,187.2594832,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_MN01_PIST_TO_2008","FFT","O",NA,203.40847,NA
"895","MN02_ABBA_B2",2008,"MN","MN02","B",NA,NA,NA,NA,1.444,51.5,35.657,117.79688,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_B2_2008","FFT",NA,"2",178.28717,NA
"896","MN02_ABBA_B3",2008,"MN","MN02","B",-4.0423379255,NA,NA,NA,1.298,49.984,38.515,149.9315665,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_B3_2008","FFT",NA,"3",192.23591,NA
"897","MN02_ABBA_BN",2008,"MN","MN02","B",NA,NA,NA,NA,1.474,50.706,34.398,96.3081862,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_BN_2008","FFT",NA,"N",191.50938,NA
"898","MN02_ABBA_M2",2008,"MN","MN02","M",NA,NA,NA,NA,1.401,51.365,36.675,142.0711749,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_M2_2008","FFT",NA,"2",222.85674,NA
"899","MN02_ABBA_M3",2008,"MN","MN02","M",NA,NA,NA,NA,NA,NA,NA,183.7060703,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_M3_2008","FFT",NA,"3",213.25879,NA
"900","MN02_ABBA_MN",2008,"MN","MN02","M",NA,NA,NA,NA,1.4045,52.126,37.685,264.9649719,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_MN_2008","FFT",NA,"N",56.18367,NA
"901","MN02_ABBA_T2",2008,"MN","MN02","T",NA,NA,NA,NA,1.328,53.649,40.413,200.9652662,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_T2_2008","FFT",NA,"2",283.25026,NA
"902","MN02_ABBA_T3",2008,"MN","MN02","T",NA,NA,NA,NA,NA,NA,NA,196.7513155,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_T3_2008","FFT",NA,"3",252.80256,NA
"903","MN02_ABBA_TN",2008,"MN","MN02","T",NA,NA,NA,NA,1.349,51.924,38.503,151.1487304,"Abies balsamea","balsam fir","Pinaceae","conifer","mid","mid conifer","ABBA","ASD FieldSpec 3","FFT_MN02_ABBA_TN_2008","FFT",NA,"N",241.83797,NA
"904","MN02_PIBA_MN",2008,"MN","MN02","M",NA,NA,NA,NA,1.4,49.871,35.617,55.90188372,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_MN02_PIBA_MN_2008","FFT","N",NA,398.76677,NA
"905","MN02_PIBA_MO",2008,"MN","MN02","M",NA,NA,NA,NA,1.765,51.835,29.374,170.4324366,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_MN02_PIBA_MO_2008","FFT","O",NA,264.33889,NA
"906","MN02_PIBA_TN",2008,"MN","MN02","T",NA,NA,NA,NA,1.362,50.505,37.072,159.7590707,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_MN02_PIBA_TN_2008","FFT","N",NA,351.64205,NA
"907","MN02_PIBA_TO",2008,"MN","MN02","T",NA,NA,NA,NA,1.299,51.159,39.395,225.5709037,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_MN02_PIBA_TO_2008","FFT","O",NA,268.35961,NA
"908","MN02_POTR_M",2008,"MN","MN02","M",-3.38246806,NA,NA,NA,2.8585,49.797,17.43,70.39546498,"Populus tremuloides","quaking aspen","Salicaceae","broadleaf","early","early hardwood","POTR5","ASD FieldSpec 3","FFT_MN02_POTR_M_2008","FFT",NA,NA,102.85387,NA
"909","MN02_POTR_T",2008,"MN","MN02","T",NA,NA,NA,NA,2.961,50.34,17.003,87.96848854,"Populus tremuloides","quaking aspen","Salicaceae","broadleaf","early","early hardwood","POTR5","ASD FieldSpec 3","FFT_MN02_POTR_T_2008","FFT",NA,NA,119.18645,NA
